,SIFSimilarity_Glove50000,SIFSimilarity_Glove50000_skip,SIFSimilarity_GN300000_skip
Transformation-rotation (34),0.463578165,0.463578165,0.637735701
Geometry-line-2 (10),0.254930755,0.259422927,0.3756892
Series-Arithmetic (43),0.512396882,0.512396882,0.620559103
Geometry-Diagonals (22),0.600096309,0.572259223,0.671314388
Geometry-axialsymmetry-vertical- (28),0.463268565,0.465719721,0.541445931
Geometry-Midpoint (19),0.241865556,0.242917145,0.35567129
Geometry-Convexity (9),0.500885337,0.464779827,0.587818531
Geometry-line-3 (11),0.247573177,0.249735388,0.348418631
Geometry-Chirality-4 (44),0.494356739,0.494356739,0.688389647
Geometry-Parallelogram (25),0.493701663,0.281078339,0.559036952
Geometry-Proportions (39),0.370371753,0.370371753,0.550137614
Topology-Inside-Outside (4),0.164896537,0.205897839,0.254189103
Geometry-Rightangle-3 (15),0.443331319,0.395671452,0.546189302
Geometry-Equilateraltriangle (20),0.536821562,0.476424155,0.586464694
Geometry-Chirality-2 (41),0.387478747,0.387478747,0.586346454
Geometry-Chirality-1- (38),0.42656575,0.42656575,0.639506566
Transformation-axialsymmetry-vertical (27),0.531368329,0.531368329,0.63091992
Geometry-Rightangle-1 (13),0.469019487,0.435422249,0.558714363
Geometry-Circle-2- (18),0.215589874,0.221338937,0.317019273
Transformation-axialsymmetry-horizontal (33),0.518488413,0.518488413,0.604021656
Transformation-axialsymmetry-mixed (35),0.546050049,0.528537782,0.627342233
Geometry-Distance (16),0.188105604,0.19142024,0.264082215
Topology-Holes (3),0.338090088,0.348655403,0.518007897
Geometry-Proportion1-3 (21),0.331557679,0.331557679,0.494061136
Topology-Closure (5),0.50790768,0.50790768,0.648123656
Transformation-homothety (36),0.434385727,0.434385727,0.633360381
Geometry-Parallels-1- (37),0.37805795,0.377186234,0.402674668
Geometry-Trapezoid (26),0.632910498,0.564909372,0.700018792
Geometry-Chirality-3 (42),0.406838908,0.406838908,0.648113568
Geometry-line-1 (8),0.241340209,0.162932916,0.31256529
Geometry-Rectangle (24),0.514336387,0.514336387,0.634806435
Geometry-Square (23),0.275980849,0.219603096,0.381553081
Geometry-axialsymmetry-randomaxis (30),0.569949338,0.548970257,0.630352076
Transformation-translation (31),0.47221989,0.47221989,0.661113159
Geometry-Rightangle-2 (14),0.505315269,0.414029373,0.555561532
Topology-Connexity (6),0.409623015,0.411403985,0.511074781
Geometry-axialsymmetry-horizontal (29),0.511074835,0.513778935,0.580815688
Topology-Belongsto (7),0.142693303,0.23544395,0.189180865
Geometry-Quadrilateral (12),0.471276621,0.45211587,0.519205867
Geometry-Parallels-2 (40),0.092554295,0.098981677,0.151048852
Series-Geometric (45),0.46371058,0.46371058,0.609143901
Transformation-pointsymmetry (32),0.485022022,0.485022022,0.632627236
