,SIFSimilarity
Transformation-rotation (34),0.463578164539
Geometry-line-2 (10),0.25493075492
Series-Arithmetic (43),0.512396882011
Geometry-Diagonals (22),0.600096308828
Geometry-axialsymmetry-vertical- (28),0.463268565021
Geometry-Midpoint (19),0.241865555611
Geometry-Convexity (9),0.500885336861
Geometry-line-3 (11),0.24757317662
Geometry-Chirality-4 (44),0.494356739123
Geometry-Parallelogram (25),0.493701662786
Geometry-Proportions (39),0.370371753453
Topology-Inside-Outside (4),0.164896537354
Geometry-Rightangle-3 (15),0.443331319097
Geometry-Equilateraltriangle (20),0.536821562044
Geometry-Chirality-2 (41),0.387478746786
Geometry-Chirality-1- (38),0.42656574971
Transformation-axialsymmetry-vertical (27),0.531368329146
Geometry-Rightangle-1 (13),0.469019487401
Geometry-Circle-2- (18),0.21558987417
Transformation-axialsymmetry-horizontal (33),0.518488413441
Transformation-axialsymmetry-mixed (35),0.546050048896
Geometry-Distance (16),0.188105603996
Topology-Holes (3),0.338090087672
Geometry-Proportion1-3 (21),0.331557679376
Topology-Closure (5),0.507907679607
Transformation-homothety (36),0.434385726951
Geometry-Parallels-1- (37),0.37805794995
Geometry-Trapezoid (26),0.632910497537
Geometry-Chirality-3 (42),0.40683890836
Geometry-line-1 (8),0.24134020867
Geometry-Rectangle (24),0.514336387433
Geometry-Square (23),0.275980848758
Geometry-axialsymmetry-randomaxis (30),0.569949337669
Transformation-translation (31),0.472219890176
Geometry-Rightangle-2 (14),0.505315269119
Topology-Connexity (6),0.409623014875
Geometry-axialsymmetry-horizontal (29),0.511074835211
Topology-Belongsto (7),0.142693303266
Geometry-Quadrilateral (12),0.471276621212
Geometry-Parallels-2 (40),0.092554295155
Series-Geometric (45),0.463710580025
Transformation-pointsymmetry (32),0.485022022377
